city,city_bis,city_nospace,city_nospace_bis,city_formatted
aubigne racan,aubigne racan,aubigneracan,aubigneracan,Aubigne-Racan
la guierche,la guierche,laguierche,laguierche,La-Guierche
saint jean d asse,st jean d asse,saintjeandasse,stjeandasse,Saint-Jean-D-Asse
coudrecieux,coudrecieux,coudrecieux,coudrecieux,Coudrecieux
saint georges de la couee,st georges de la couee,saintgeorgesdelacouee,stgeorgesdelacouee,Saint-Georges-De-La-Couee
la chapelle d aligne,la chapelle d aligne,lachapelledaligne,lachapelledaligne,La-Chapelle-D-Aligne
le bailleul,le bailleul,lebailleul,lebailleul,Le-Bailleul
crannes en champagne,crannes en champagne,crannesenchampagne,crannesenchampagne,Crannes-En-Champagne
saint ulphace,st ulphace,saintulphace,stulphace,Saint-Ulphace
soulitre,soulitre,soulitre,soulitre,Soulitre
thoigne,thoigne,thoigne,thoigne,Thoigne
precigne,precigne,precigne,precigne,Precigne
le lude,le lude,lelude,lelude,Le-Lude
arconnay,arconnay,arconnay,arconnay,Arconnay
souvigne sur meme,souvigne sur meme,souvignesurmeme,souvignesurmeme,Souvigne-Sur-Meme
thoire sur dinan,thoire sur dinan,thoiresurdinan,thoiresurdinan,Thoire-Sur-Dinan
villaines sous luce,villaines sous luce,villainessousluce,villainessousluce,Villaines-Sous-Luce
saint pierre des ormes,st pierre des ormes,saintpierredesormes,stpierredesormes,Saint-Pierre-Des-Ormes
fye,fye,fye,fye,Fye
amne,amne,amne,amne,Amne
saint mars la briere,st mars la briere,saintmarslabriere,stmarslabriere,Saint-Mars-La-Briere
lombron,lombron,lombron,lombron,Lombron
tuffe,tuffe,tuffe,tuffe,Tuffe
ecommoy,ecommoy,ecommoy,ecommoy,Ecommoy
fille,fille,fille,fille,Fille
avesse,avesse,avesse,avesse,Avesse
beaumont pied de boeuf,beaumont pied de boeuf,beaumontpieddeboeuf,beaumontpieddeboeuf,Beaumont-Pied-De-Boeuf
neufchatel en saosnois,neufchatel en saosnois,neufchatelensaosnois,neufchatelensaosnois,Neufchatel-En-Saosnois
saint pierre du lorouer,st pierre du lorouer,saintpierredulorouer,stpierredulorouer,Saint-Pierre-Du-Lorouer
coulombiers,coulombiers,coulombiers,coulombiers,Coulombiers
preval,preval,preval,preval,Preval
villaines la carelle,villaines la carelle,villaineslacarelle,villaineslacarelle,Villaines-La-Carelle
la bazoge,la bazoge,labazoge,labazoge,La-Bazoge
cherreau,cherreau,cherreau,cherreau,Cherreau
cherre,cherre,cherre,cherre,Cherre
sainte cerotte,ste cerotte,saintecerotte,stecerotte,Sainte-Cerotte
les aulneaux,les aulneaux,lesaulneaux,lesaulneaux,Les-Aulneaux
mareil sur loir,mareil sur loir,mareilsurloir,mareilsurloir,Mareil-Sur-Loir
greez sur roc,greez sur roc,greezsurroc,greezsurroc,Greez-Sur-Roc
bouer,bouer,bouer,bouer,Bouer
arnage,arnage,arnage,arnage,Arnage
lamnay,lamnay,lamnay,lamnay,Lamnay
mansigne,mansigne,mansigne,mansigne,Mansigne
saint ouen de mimbre,st ouen de mimbre,saintouendemimbre,stouendemimbre,Saint-Ouen-De-Mimbre
mayet,mayet,mayet,mayet,Mayet
courdemanche,courdemanche,courdemanche,courdemanche,Courdemanche
chassille,chassille,chassille,chassille,Chassille
pontvallain,pontvallain,pontvallain,pontvallain,Pontvallain
lanslebourg mont cenis,lanslebourg mont cenis,lanslebourgmontcenis,lanslebourgmontcenis,Lanslebourg-Mont-Cenis
montailleur,montailleur,montailleur,montailleur,Montailleur
notre dame du cruet,notre dame du cruet,notredameducruet,notredameducruet,Notre-Dame-Du-Cruet
aix les bains,aix les bains,aixlesbains,aixlesbains,Aix-Les-Bains
albiez le jeune,albiez le jeune,albiezlejeune,albiezlejeune,Albiez-Le-Jeune
hermillon,hermillon,hermillon,hermillon,Hermillon
villarodin bourget,villarodin bourget,villarodinbourget,villarodinbourget,Villarodin-Bourget
crest voland,crest voland,crestvoland,crestvoland,Crest-Voland
la rochette,la rochette,larochette,larochette,La-Rochette
bellentre,bellentre,bellentre,bellentre,Bellentre
saint vital,st vital,saintvital,stvital,Saint-Vital
sainte marie d alvey,ste marie d alvey,saintemariedalvey,stemariedalvey,Sainte-Marie-D-Alvey
clery,clery,clery,clery,Clery
mognard,mognard,mognard,mognard,Mognard
la cote d aime,la cote d aime,lacotedaime,lacotedaime,La-Cote-D-Aime
freney,freney,freney,freney,Freney
meyrieux trouet,meyrieux trouet,meyrieuxtrouet,meyrieuxtrouet,Meyrieux-Trouet
le bois,le bois,lebois,lebois,Le-Bois
les mollettes,les mollettes,lesmollettes,lesmollettes,Les-Mollettes
montgilbert,montgilbert,montgilbert,montgilbert,Montgilbert
